text,label_str,label
Where do the adventures of `` The Swiss Family Robinson '' take place ?,LOC:other,16.0
What relative of the racoon is sometimes known as the cat-bear ?,ENTY:animal,2.0
How can I register my website in Yahoo for free ?,DESC:manner,0.0
What was cash-conscious Colonel Edwin L. Drake the first to drill ?,ENTY:other,14.0
How many people in the world speak French ?,NUM:count,13.0
How many inches over six feet is the Venus de Milo ?,NUM:count,13.0
How do they find or choose witnesses to an execution ?,DESC:manner,0.0
What 1920s cowboy star rode Tony the Wonder Horse ?,HUM:ind,4.0
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?,ENTY:food,18.0
What ISPs exist in the Caribbean ?,HUM:gr,5.0
How do you ask a total stranger out on a date ?,DESC:manner,0.0
What weapon is the mythological character Apollo most proficient with ?,ENTY:other,14.0
What country do the Galapagos Islands belong to ?,LOC:country,19.0
What is ethology ?,DESC:def,7.0
Who was the prophet of the Muslim people ?,HUM:ind,4.0
Where did the term `` 86ed '' come from ?,DESC:desc,12.0
Who is Snoopy 's arch-enemy ?,HUM:ind,4.0
What is the nature of learning ?,DESC:def,7.0
What 's the only color Johnny Cash wears on stage ?,ENTY:color,20.0
What 's the term for a young fox ?,ENTY:termeq,21.0
What U.S. state lived under six flags ?,LOC:state,11.0
What is the Kashmir issue ?,DESC:def,7.0
Where is the Loop ?,LOC:other,16.0
What does `` extended definition '' mean and how would one write a paper on it ?,DESC:def,7.0
What country 's capital is Tirana ?,LOC:country,19.0
What is titanium ?,DESC:def,7.0
Who do Herb and Tootsie live next door to ?,HUM:ind,4.0
Which city has the oldest relationship as a sisterðcity with Los Angeles ?,LOC:city,22.0
What is a caldera ?,DESC:def,7.0
Why do people get calluses ?,DESC:reason,9.0
What are the names of the tourist attractions in Reims ?,LOC:other,16.0
What are Cushman and Wakefield known for ?,DESC:reason,9.0
What body of water does the Danube River flow into ?,LOC:other,16.0
Who is the founder of Scientology ?,HUM:ind,4.0
What does the six-footed Musca domestica become when it enters a house ?,ENTY:other,14.0
What is the history of skateboarding ?,DESC:desc,12.0
Who starred in Singing in the Rain and The Singing Nun ?,HUM:ind,4.0
How do I make fuel bricks from recycled newspaper ?,DESC:manner,0.0
What 19th-century painter died in the Marquesas Islands ?,HUM:ind,4.0
The corpus callosum is in what part of the body ?,ENTY:body,23.0
How do I log on to home page at Headquarters U.S. European Command ?,DESC:manner,0.0
"What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .",LOC:country,19.0
What is Nebraska 's most valuable resource ?,ENTY:other,14.0
How many species of the Great White shark are there ?,NUM:count,13.0
What is the origin of head lice ?,DESC:desc,12.0
What is the nickname for the state of Mississippi ?,LOC:state,11.0
What was the first domesticated bird ?,ENTY:animal,2.0
How many villi are found in the small intestine ?,NUM:count,13.0
What country did King Wenceslas rule ?,LOC:country,19.0
What is a fear of shadows ?,ENTY:dismed,24.0
Who were the five Marx brothers ?,HUM:ind,4.0
In which year was New Zealand excluded from the ANZUS alliance ?,NUM:date,8.0
When did CNN begin broadcasting ?,NUM:date,8.0
What causes the body to shiver in cold temperatures ?,DESC:reason,9.0
What are bear and bull markets ?,DESC:def,7.0
What J.R.R. Tolkien book features Bilbo Baggins as the central character ?,ENTY:cremat,1.0
What is `` dew point '' ?,DESC:def,7.0
What is the meaning of Jesus ?,DESC:def,7.0
What company 's logo is a `` W '' in a circle ?,HUM:gr,5.0
What is the definition of a cascade ?,DESC:def,7.0
When did Rococo painting and architecture flourish ?,NUM:date,8.0
What country 's national passenger rail system is called Via ?,LOC:country,19.0
Who invented Make-up ?,HUM:ind,4.0
What is the origin of the word `` attic '' ?,DESC:desc,12.0
What did Delilah do to Samson 's hair ?,DESC:desc,12.0
What kind of animals were in the Paleozoic era ?,ENTY:animal,2.0
Which of the following was Rhodes Scholar ?,HUM:ind,4.0
Who comprised the now-defunct comic book team known as the Champions ?,HUM:ind,4.0
How do you make a paintball ?,DESC:manner,0.0
What U.S. state is Fort Knox in ?,LOC:state,11.0
What is a female rabbit called ?,ENTY:animal,2.0
Where is the highest point in Japan ?,LOC:mount,25.0
Where do chihuahuas come from ?,DESC:desc,12.0
Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?,LOC:other,16.0
What are the world 's four oceans ?,LOC:other,16.0
What 's the only work by Michelangelo that bears his signature ?,ENTY:cremat,1.0
What is the largest snake in the world ?,ENTY:animal,2.0
In what medium is Stuart Hamblen considered to be the first singing cowboy ?,ENTY:cremat,1.0
Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?,LOC:other,16.0
How much money does a back injury lawsuit get ?,NUM:money,26.0
What 's the common name for acetylsalicylic acid ?,ENTY:termeq,21.0
What does the Georgetown `` Hoya '' mean ?,DESC:def,7.0
Where can I find a list of `` classic '' books 5th and 6th graders should read ?,LOC:other,16.0
Which two products use a tiger as their symbol ?,ENTY:product,27.0
How is the election of a new Pope announced to the world ?,DESC:manner,0.0
How long does it take for your blood to make one complete trip through the body ?,NUM:period,28.0
How do chickens have baby chicks ?,DESC:manner,0.0
What is the historical relationship of Catholic Church and bingo ?,DESC:desc,12.0
How was the element calcium named ?,DESC:manner,0.0
What crooner joined The Andrews Sisters for Pistol Packin Mama ?,HUM:ind,4.0
What piano company claims its product is the `` Instrument of the immortals '' ?,HUM:gr,5.0
When did the Bounty mutiny take place ?,NUM:date,8.0
What novel inspired the movie BladeRunner ?,ENTY:cremat,1.0
What is a transistor ?,DESC:def,7.0
What is a film starring Jude Law ?,ENTY:cremat,1.0
What Hollywood dog died in the arms of Jean Harlow in 1932 ?,ENTY:animal,2.0
What are the most common elements in the Earth 's crust ?,ENTY:substance,29.0
"How much would it cost to purchase a 2-foot-square party tent , with sides , ?",NUM:money,26.0
What actress has received the most Oscar nominations ?,HUM:ind,4.0
What are equity securities ?,DESC:def,7.0
What is gymnophobia ?,DESC:def,7.0
How many years do fossils take to form ?,NUM:count,13.0
Where is the Orinoco ?,LOC:other,16.0
What was the name of the `` Little Rascals '' dog ?,ENTY:animal,2.0
"What city boasts Penn 's Landing , on the banks of the Delaware river ?",LOC:city,22.0
What Broadway musical was inspired by Cervantes 's Don Quixote ?,ENTY:cremat,1.0
"What is the origin of the word , JJ .",DESC:desc,12.0
How many hostages were killed in the Entebbe raid ?,NUM:count,13.0
How you can raise your IQ ?,DESC:manner,0.0
What does INRI stand for when used on Jesus ' cross ?,ABBR:exp,3.0
Who produces Spumante ?,HUM:gr,5.0
Who earns their money the hard way ?,HUM:ind,4.0
Who founded the People 's Temple Commune ?,HUM:ind,4.0
What athlete makes the most money from sports merchandise sales ?,HUM:ind,4.0
How many bends are there in a standard paper clip ?,NUM:count,13.0
Who discovered electricity ?,HUM:ind,4.0
What part of your body contains the corpus callosum ?,ENTY:body,23.0
Who was the first American in space ?,HUM:ind,4.0
What two South American countries do n't border Brazil ?,LOC:country,19.0
What album put The Beatles on the cover of Time in 1967 ?,ENTY:cremat,1.0
"What poem contains the line , `` grow old with me the best is yet to be '' .",ENTY:cremat,1.0
What is a dental root canal ?,DESC:def,7.0
What war did the Wanna-Go-Home Riots occur after ?,ENTY:event,10.0
What is the busiest air travel season ?,NUM:date,8.0
What 's the colored part of the eye called ?,ENTY:body,23.0
What are hook worms ?,DESC:def,7.0
Where is the Rose Bowl played ?,LOC:other,16.0
Which Japanese car maker had its biggest percentage of sale in the domestic market ?,HUM:gr,5.0
Who is the mayor of Marbella ?,HUM:ind,4.0
"What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?",LOC:other,16.0
In what year did Thatcher become prime minister ?,NUM:date,8.0
How many months does it take the moon to revolve around the Earth ?,NUM:count,13.0
Where are the 49 steps ?,LOC:other,16.0
In what year was De Gaulle elected president of France ?,NUM:date,8.0
Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?,HUM:ind,4.0
Who directed `` Jaws '' ?,HUM:ind,4.0
On what T.V. show could Tom Terrific be found ?,ENTY:cremat,1.0
What Indian tribe is F Troop perpetually doing battle with ?,HUM:gr,5.0
Where did Indian Pudding come from ?,DESC:desc,12.0
Why do some clothing labels say `` Use a nonchlorine bleach '' ?,DESC:reason,9.0
How many colonies were involved in the American Revolution ?,NUM:count,13.0
What is the name of the city that Maurizio Pellegrin lives in ?,LOC:city,22.0
Where can I find pictorial directions on how to build a very simple treehouse ?,LOC:other,16.0
"What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?",ENTY:sport,30.0
What is the name of the managing director of Apricot Computer ?,HUM:ind,4.0
What is the occupation of Nicholas Cage ?,HUM:title,6.0
Why do horseshoes bring luck ?,DESC:reason,9.0
"What is the 401 , K , plan ?",DESC:def,7.0
What causes pneumonia ?,DESC:reason,9.0
What are the three winter months in the southern hemisphere ?,NUM:date,8.0
What does gringo mean ?,DESC:def,7.0
What country contains Africa 's northernmost point ?,LOC:country,19.0
What therapy attempts to elicit the `` primal scream '' ?,ENTY:dismed,24.0
Where is the Kalahari desert ?,LOC:other,16.0
Which Ventura County police department seized the largest cocaine shipment in it 's history ?,HUM:gr,5.0
What city is sometimes called Gotham ?,LOC:city,22.0
What dangles over the tongue from the palate ?,ENTY:body,23.0
Who created Dennis the Menace ?,HUM:ind,4.0
What dummy received an honorary degree from Northwestern University ?,HUM:ind,4.0
When was the first Wall Street Journal published ?,NUM:date,8.0
What countries have the largest areas of forest ?,LOC:country,19.0
How do I start a web based business ?,DESC:manner,0.0
Name Alvin 's brothers,HUM:ind,4.0
What is Eagle 's syndrome styloid process ?,DESC:def,7.0
How did Jayne Mansfield die ?,DESC:manner,0.0
When did the royal wedding of Prince Andrew and Fergie take place ?,NUM:date,8.0
What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?,HUM:ind,4.0
What explorer was nicknamed Iberia 's Pilot ?,HUM:ind,4.0
CNN began broadcasting in what year ?,NUM:date,8.0
What is a ball that hits the foul pole called ?,ENTY:termeq,21.0
What makes hamburgers taste like steakburgers ?,DESC:reason,9.0
Which company created the Internet browser Mosaic ?,HUM:gr,5.0
What are the rites accompanying the circumcision of a newly born-child in Judaism called ?,ENTY:event,10.0
What was the education system in the 1960 's ?,ENTY:other,14.0
What South American city has the world 's highest commercial landing field ?,LOC:city,22.0
How can I find out which cities have cable-modem access ?,DESC:manner,0.0
What is Betsy Ross famous for ?,DESC:reason,9.0
How many species of sharks are there ?,NUM:count,13.0
What is `` snoogans '' ?,DESC:def,7.0
How many people are there in the world ?,NUM:count,13.0
What shrubs can be planted that will be safe from deer ?,ENTY:plant,31.0
What organization 's offices were broken into at Watergate in 1972 ?,HUM:gr,5.0
What is the design of the ship Titanic ?,DESC:desc,12.0
What does S.O.S. stand for ?,ABBR:exp,3.0
Name a technique widely used to detect birth defects ?,ENTY:techmeth,32.0
What is the daily requirement of folic acid for an expectant mother ?,DESC:desc,12.0
What is the `` 7-minute cigarette '' ?,DESC:def,7.0
What four forms does gold occur in ?,ENTY:other,14.0
What is the acreage of the Chappellet vineyard ?,NUM:volsize,33.0
How do you correctly say the word ` qigong ' ?,DESC:manner,0.0
When did beethoven die ?,NUM:date,8.0
How much does a new railroad coal car cost ?,NUM:money,26.0
What two European countries entered the War of American Independence against the British ?,LOC:country,19.0
What is the filmmakers collabrative ?,DESC:def,7.0
What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?,HUM:ind,4.0
What caused Harry Houdini 's death ?,DESC:reason,9.0
"Who was the mother of the man who would not be king , the duke of Windsor ?",HUM:ind,4.0
How many revolutions does a standard LP make in three minutes ?,NUM:count,13.0
What is the name of the tallest mountain in the world ?,LOC:mount,25.0
Where can I find a review of Nightmare on Elm Street in a film journal ?,LOC:other,16.0
What 's the slowest Olympic swimming stroke ?,ENTY:techmeth,32.0
What was the name of the first Russian astronaut to do a spacewalk ?,HUM:ind,4.0
What disease is transmitted by the Anopheles mosquito ?,ENTY:dismed,24.0
What rum is so `` mixable '' it is a one-brand bar ?,ENTY:food,18.0
How many South American countries have the letter Z in their names ?,NUM:count,13.0
What is the contents of proposition 98 ?,DESC:def,7.0
Where was George Washington born ?,LOC:other,16.0
"How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD .",NUM:count,13.0
Who wrote NN DT NNP NNP '' ?,HUM:ind,4.0
What is paracetamol ?,DESC:def,7.0
What are the powers and weaknesses of Green Lantern 's ring ?,DESC:desc,12.0
"Which mosquito 's bite draws blood , DT NN CC DT NN .",ENTY:animal,2.0
When was the first steel mill in the United States built ?,NUM:date,8.0
What diminutive American female gymnast stole the show at the 1984 Olympics ?,HUM:ind,4.0
What is the origin of the name Katie ?,DESC:desc,12.0
"What schools in the Washington , DC NN NN VBP NN NN NN NN .",HUM:gr,5.0
When did the Berlin Wall go up ?,NUM:date,8.0
Who is Terrence Malick ?,HUM:desc,34.0
What instrument is Ray Charles best known for playing ?,ENTY:instru,35.0
"What 's the meaning of the Latin battle cry : Ad arma , ad arma .",DESC:def,7.0
What is the mascot for Notre Dame University ?,ENTY:other,14.0
"What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives ?",LOC:other,16.0
When did Mount St. Helen last have a significant eruption ?,NUM:date,8.0
CNN is the abbreviation for what ?,ABBR:exp,3.0
When did World War I start ?,NUM:date,8.0
How many feet are there in a fathom ?,NUM:count,13.0
What is a Canada two-penny black ?,DESC:def,7.0
What European city do Nicois live in ?,LOC:city,22.0
How can I find out what year a Beanie Baby was introduced ?,DESC:manner,0.0
What is the classic definition of tragic hero ?,DESC:def,7.0
To what does Microsoft 's Windows 3 owe its success ?,ENTY:other,14.0
Who was President of Afghanistan in 1994 ?,HUM:ind,4.0
"What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?",ENTY:techmeth,32.0
What did brontosauruses eat ?,ENTY:food,18.0
What color bottles do good Rhine wines come in ?,ENTY:color,20.0
Who was the lead actress in the movie ` Sleepless in Seattle ' ?,HUM:ind,4.0
Who was the 16th President of the United States ?,HUM:ind,4.0
Who are the two sons of Ozzie and Harriet Nelson ?,HUM:ind,4.0
What is molybdenum ?,DESC:def,7.0
When is Boxing Day ?,NUM:date,8.0
What is the lowest level of the American judiciary ?,ENTY:other,14.0
When was the battle of the Somme fought ?,NUM:date,8.0
How many people did Randy Craft kill ?,NUM:count,13.0
What 's the official animal of Canada ?,ENTY:animal,2.0
When did Spielberg direct `` Jaws '' ?,NUM:date,8.0
What is the size of the largest akita ?,NUM:volsize,33.0
What animal has the biggest eyes ?,ENTY:animal,2.0
What is California 's capital ?,LOC:city,22.0
Who was the author of the book about computer hackers called `` The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ?,HUM:ind,4.0
Who was the founding member of the Pink Floyd band ?,HUM:ind,4.0
What European country is home to the beer-producing city of Budweis ?,LOC:country,19.0
How do I find the balance of my social security account ?,DESC:manner,0.0
What is the history of Valentine 's Day cards ?,DESC:desc,12.0
Where was Christopher Columbus born ?,LOC:other,16.0
What do Italians call Florence ?,ENTY:termeq,21.0
How do you get to the top of the Eiffel Tower ?,DESC:manner,0.0
What does ` PSI ' stand for ?,ABBR:exp,3.0
What sea did the Romans call mare nostrum ?,LOC:other,16.0
What 's the term for a bet before cards are dealt ?,ENTY:termeq,21.0
"Which came first , according to Genesis 1 : 2 : 22 - the chicken or the egg ?",ENTY:animal,2.0
What city did the Flintstones live in ?,LOC:city,22.0
What is Latin for incompetent ?,ENTY:termeq,21.0
What chemicals are used in lethal injection ?,ENTY:dismed,24.0
What toy company is the world 's No.1 maker of female apparel ?,HUM:gr,5.0
What board game does a `` wood-pusher '' play poorly ?,ENTY:sport,30.0
Which Doonesbury character was likely to turn into a werewolf ?,HUM:ind,4.0
What is the abbreviation for micro ?,ABBR:abb,36.0
What are the 7 articles of the constitution ?,ENTY:other,14.0
Who has won the most Super Bowls ?,HUM:gr,5.0
What does NASDAQ stand for ?,ABBR:exp,3.0
What is BPH ?,ABBR:exp,3.0
What is the fastest commercial automobile that can be bought in the US ?,ENTY:other,14.0
What stadium do the Miami Dolphins play their home games in ?,LOC:other,16.0
Who has the only speaking role in `` Silent Movie '' ?,HUM:ind,4.0
Why is poop sometimes different colors ?,DESC:reason,9.0
What was Einstein 's IQ ?,NUM:other,37.0
What day was Pearl Harbor attacked in 1942 ?,NUM:date,8.0
What girl 's name is `` Teddy '' an affectionate form of ?,HUM:ind,4.0
What state is John F. Kennedy buried in ?,LOC:state,11.0
What is the best way to remove wallpaper ?,ENTY:techmeth,32.0
What U.S. state has an element named for it ?,LOC:state,11.0
What company tabulates the ballots in voting for the Academy Awards ?,HUM:gr,5.0
How did the tradition of best man start ?,DESC:manner,0.0
How many years ago did the ship Titanic sink ?,NUM:count,13.0
What is the deepest area of the Arctic Ocean ?,LOC:other,16.0
What are Halloween 's colors ?,ENTY:color,20.0
How is silk screening done ?,DESC:manner,0.0
"What is the latitude and longitude of El Paso , Texas ?",NUM:other,37.0
Who made a boat out of gopher wood ?,HUM:ind,4.0
Where can I find a `` Fifth Element '' screensaver ?,LOC:other,16.0
Which Bloom County resident wreaks havoc with a computer ?,HUM:ind,4.0
How do you match a name to a social security number ?,DESC:manner,0.0
How does a rainbow form ?,DESC:manner,0.0
What is the normal resting heart rate of a healthy adult ?,NUM:other,37.0
What is the population of Ohio ?,NUM:other,37.0
How many calories are there in a Big Mac ?,NUM:count,13.0
Hazmat stands for what ?,DESC:def,7.0
What creature scares people in the film `` Jaws '' ?,ENTY:animal,2.0
What part did John Peter Zenger play in the deveopment of the newspaper in America ?,HUM:ind,4.0
Who followed Caesar ?,HUM:ind,4.0
What are the four elements ?,ENTY:substance,29.0
Who was the first woman golfer to earn a million ?,HUM:ind,4.0
What 's the tallest piece on a chessboard ?,ENTY:other,14.0
What is Answers.com 's address ?,LOC:other,16.0
Where can I buy movies on videotape online ?,LOC:other,16.0
Who does the advertizing for Frito-Lay ?,HUM:ind,4.0
Who is the leading competitor of Trans Union Company ?,HUM:gr,5.0
What product did Robert Conrad dare people to knock off his shoulder ?,ENTY:product,27.0
Who invented the radio ?,HUM:ind,4.0
What 's the American dollar equivalent for 8 pounds in the U.K. ?,NUM:count,13.0
What are the different approaches of systems analysis ?,ENTY:techmeth,32.0
How do doctors diagnose bone cancer ?,DESC:manner,0.0
Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?,HUM:ind,4.0
What is the speed of the Mississippi River ?,NUM:speed,38.0
What are the developmental stages of a swimmer ?,ENTY:other,14.0
What actor first portrayed James Bond ?,HUM:ind,4.0
What ocean is the largest in the world ?,LOC:other,16.0
"Who was the first American poet to win the Nobel Prize for literature , in 1948 ?",HUM:ind,4.0
What year did Jack Nicklaus join the Professional Golfers Association tour ?,NUM:date,8.0
How many sonnets did Shakespeare write ?,NUM:count,13.0
What causes the redness in your cheeks when you blush ?,DESC:reason,9.0
Who won the Nobel Peace Prize in 1991 ?,HUM:ind,4.0
Who are the Challengers of the Unknown ?,HUM:gr,5.0
Define the Pheonix Club ?,DESC:def,7.0
Which city did Christian Crusaders fight to recapture from the Muslims ?,LOC:city,22.0
What does it mean `` Rupee Depreciates '' ?,DESC:def,7.0
What gaming devices were dubbed `` Mississippi marbles '' and `` Memphis dominoes '' ?,ENTY:other,14.0
Who was the first coach of the Cleveland Browns ?,HUM:ind,4.0
How successful is arometherapy ?,DESC:manner,0.0
What Jewish holiday saw the start of the 1973 Mideast War ?,ENTY:event,10.0
How does a copier work ?,DESC:manner,0.0
What is the speed of the Mississippi River ?,NUM:speed,38.0
Who said of Super Bowl III in 1969 : `` We 'll win- I guarantee it '' ?,HUM:ind,4.0
What is Dudley Do-Right 's horse 's name ?,ENTY:animal,2.0
Who declared : `` I am down on whores and I shan 't stop ripping them '' ?,HUM:ind,4.0
Where does chocolate come from ?,LOC:other,16.0
What TV game show once saw a contestant admit to picking his toes in the shower ?,ENTY:cremat,1.0
What Soviet leader owned a Rolls-Royce ?,HUM:ind,4.0
Where can I find a case on Individuals with Disabilities Education Act of 1991 ?,LOC:other,16.0
What war did Florence Nightingale tend the troops in ?,ENTY:event,10.0
"Who wrote the song , `` Stardust '' ?",HUM:ind,4.0
How many Beatles ' records went #1 ?,NUM:count,13.0
Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?,HUM:ind,4.0
What is the abbreviation of the company name ` General Motors ' ?,ABBR:abb,36.0
What mountains lie between the Arkansas and Missouri rivers ?,LOC:mount,25.0
Who received the Will Rogers Award in 1989 ?,HUM:ind,4.0
What is the function of RAM ?,DESC:reason,9.0
What 's the closest G2 Spectrum Yellow Dwarf to Earth ?,LOC:other,16.0
How many equal angles are there in an isosceles triangle ?,NUM:count,13.0
What is the fear of cockroaches called ?,ENTY:dismed,24.0
What CBS soap opera was interrupted by the bulletin of John F. Kennedy 's assassination ?,ENTY:cremat,1.0
What is the use of a 24-hour clock instead of a 12-hour clock ?,DESC:desc,12.0
What was the name of the lawyer who represented Randy Craft ?,HUM:ind,4.0
What United States President had dreamed that he was assassinated ?,HUM:ind,4.0
What film did Lee Marvin win the 1965 best actor Oscar for ?,ENTY:cremat,1.0
Where is Basque country located ?,LOC:other,16.0
What product does `` Mrs. Olsen '' promote ?,ENTY:product,27.0
What time of day did Emperor Hirohito die ?,NUM:date,8.0
What is dry ice ?,DESC:def,7.0
What 's the most powerful card in Euchre ?,ENTY:other,14.0
What does `` intractable plantar keratoma '' mean ?,DESC:def,7.0
How many years did it take James Joyce to write Ulysses ?,NUM:count,13.0
What crop failure caused the Irish Famine ?,ENTY:food,18.0
What South Korean city is served by Kimpo International Airport ?,LOC:city,22.0
How many types of dogs ' tails are there - three,NUM:count,13.0
What is the longest-running television series ?,ENTY:cremat,1.0
What predators exist on Antarctica ?,ENTY:animal,2.0
What is the difference between a generator and an alternator ?,DESC:desc,12.0
How is energy created ?,DESC:manner,0.0
What beer advertised that it had `` three rings '' ?,ENTY:food,18.0
What is the quantity of American soldiers still unaccounted for from the Vietnam war ?,NUM:other,37.0
What golfing accessory was patented by George Grant on December 12,ENTY:techmeth,32.0
What are the different types of plastic ?,ENTY:other,14.0
How is it correct to say ` qigong ' ?,DESC:manner,0.0
What was the highest mountain on earth before Mount Everest was discovered ?,LOC:mount,25.0
"Where was the Ligurian Republic , 1797-185 , ?",LOC:other,16.0
What country 's people are the top television watchers ?,LOC:country,19.0
When was the women 's suffrage amendment ratified ?,NUM:date,8.0
What Polynesian people inhabit New Zealand ?,HUM:gr,5.0
What movie tour of the Roman empire features the admonition : `` Row well and live '' ?,ENTY:cremat,1.0
What Nevada center has been dubbed The Biggest Little City in the World ?,LOC:city,22.0
"What President lived at 219 North Delaware Street , Independence , Missouri ?",HUM:ind,4.0
Give a reason for American Indians oftentimes dropping out of school .,DESC:reason,9.0
Where must a soccer goalie stand to be permitted to handle the ball ?,LOC:other,16.0
What is the difference between classical conditioning and operant conditioning ?,DESC:desc,12.0
In what U.S. state was the first woman governor elected ?,LOC:state,11.0
What are some interesting facts and information about dogsledding ?,DESC:desc,12.0
What year did Hitler die ?,NUM:date,8.0
What famous model was married to Billy Joel ?,HUM:ind,4.0
What kind of animal is Babar ?,ENTY:animal,2.0
What is Jane Goodall known for ?,DESC:reason,9.0
What killed Bob Marley ?,ENTY:other,14.0
How much money are Dumbo 's ears insured for ?,NUM:money,26.0
Who danced into stardom with Fred Astaire in 1941 's You 'll Never Get Rich ?,HUM:ind,4.0
Who is Stein Eriksen ?,HUM:desc,34.0
What does the name Billie mean ?,DESC:def,7.0
Who is the fastest swimmer in the world ?,HUM:ind,4.0
What is the highest peak in Africa ?,LOC:mount,25.0
Where is Procter & Gamble headquartered in the U.S. ?,LOC:other,16.0
What desert has been called The Garden of Allah ?,LOC:other,16.0
What do bicornate animals have two of ?,ENTY:other,14.0
What function does a community 's water tower serve ?,DESC:reason,9.0
What is a fear of weakness ?,ENTY:dismed,24.0
How many miles is it to Ohio from North Carolina ?,NUM:count,13.0
How much snow equals an inch of rain ?,NUM:count,13.0
What does G.M.T. stand for ?,ABBR:exp,3.0
What does Inuit and Eskimo mean ?,DESC:def,7.0
What song served as the closing theme of The Johnny Cash Show ?,ENTY:cremat,1.0
What field sport did dentist William Beers promote and write a standard book of rules for ?,ENTY:sport,30.0
How do I tie dye clothes ?,DESC:manner,0.0
When does the average teenager first have intercourse ?,NUM:date,8.0
Why doesn 't www.answers.com have any answers to my questions ?,DESC:reason,9.0
What actor 's autobiography is titled All My Yesterdays ?,HUM:ind,4.0
What Russian master spy lived in the U.S. under the name Emil Goldfus ?,HUM:ind,4.0
Where 's the 19th hole on a golf course ?,LOC:other,16.0
What 's nature 's purpose for tornadoes ?,DESC:reason,9.0
Who played the original Charlie 's Angels ?,HUM:ind,4.0
Where can I find a person 's address from a telephone number ?,LOC:other,16.0
"What English word comes from the Old French covrefeu , meaning cover fire ?",ENTY:word,39.0
What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?,ENTY:instru,35.0
Where did Sarge Steel get his metal hand ?,LOC:other,16.0
What makes popcorn pop ?,DESC:reason,9.0
Who wrote The Night of the Iguana ?,HUM:ind,4.0
Where does your hair grow the fastest ?,ENTY:body,23.0
What country did King Gustav V reign over from 197 to 195 ?,LOC:country,19.0
Who painted Mother and Child ?,HUM:ind,4.0
What is the speed of the Mississippi River ?,NUM:speed,38.0
In what area of the world was the Six Day War fought ?,LOC:other,16.0
What is the brightest star visible from Earth ?,LOC:other,16.0
What film marked Robert Redford 's directorial debut ?,ENTY:cremat,1.0
What was Mao 's second name ?,HUM:ind,4.0
What film or films has Jude Law appeared in ?,ENTY:cremat,1.0
Where do hyenas live ?,LOC:other,16.0
